10:04:39 Hybrid tokenizer, passthrough_prob=0.5
10:04:40 Model: 20.64M params, train=184, val=10
10:28:52 step=7400 loss=0.03579 lr=2.00e-03 mode=passthrough t=1452s
10:29:12 step=7500 loss=0.03435 lr=2.00e-03 mode=all-discrete t=1472s
10:29:31 step=7600 loss=0.03422 lr=2.00e-03 mode=all-discrete t=1491s
10:29:51 step=7700 loss=0.03914 lr=2.00e-03 mode=all-discrete t=1511s
10:30:10 step=7800 loss=0.03430 lr=2.00e-03 mode=passthrough t=1530s
10:30:30 step=7900 loss=0.03753 lr=2.00e-03 mode=all-discrete t=1550s
10:30:50 step=8000 loss=0.03697 lr=2.00e-03 mode=passthrough t=1570s
10:31:09 step=8100 loss=0.03558 lr=2.00e-03 mode=passthrough t=1589s
10:31:29 step=8200 loss=0.03525 lr=2.00e-03 mode=passthrough t=1609s
10:31:48 step=8300 loss=0.03255 lr=2.00e-03 mode=passthrough t=1629s
10:32:08 step=8400 loss=0.03317 lr=2.00e-03 mode=all-discrete t=1648s
10:32:28 step=8500 loss=0.03304 lr=2.00e-03 mode=passthrough t=1668s
10:32:47 step=8600 loss=0.03430 lr=2.00e-03 mode=passthrough t=1687s
10:33:07 step=8700 loss=0.03469 lr=2.00e-03 mode=passthrough t=1707s
10:33:26 step=8800 loss=0.03683 lr=2.00e-03 mode=passthrough t=1727s
10:33:46 step=8900 loss=0.03220 lr=2.00e-03 mode=passthrough t=1746s
10:34:06 step=9000 loss=0.03033 lr=2.00e-03 mode=passthrough t=1766s
10:34:25 step=9100 loss=0.03606 lr=2.00e-03 mode=all-discrete t=1785s
10:34:40 VAL step=9175 epoch=100 val=0.03804
10:34:41   New best: 0.03804
10:34:46 step=9200 loss=0.03436 lr=2.00e-03 mode=all-discrete t=1806s
10:35:06 step=9300 loss=0.03114 lr=2.00e-03 mode=all-discrete t=1826s
10:35:25 step=9400 loss=0.03435 lr=2.00e-03 mode=all-discrete t=1845s
10:35:45 step=9500 loss=0.03205 lr=2.00e-03 mode=passthrough t=1865s
10:36:04 step=9600 loss=0.03352 lr=2.00e-03 mode=all-discrete t=1884s
10:36:24 step=9700 loss=0.03008 lr=2.00e-03 mode=all-discrete t=1904s
10:36:43 step=9800 loss=0.03433 lr=2.00e-03 mode=passthrough t=1924s
10:37:03 step=9900 loss=0.03381 lr=2.00e-03 mode=all-discrete t=1943s
10:37:23 step=10000 loss=0.03685 lr=2.00e-03 mode=all-discrete t=1963s
10:37:42 step=10100 loss=0.03641 lr=2.00e-03 mode=passthrough t=1982s
10:38:02 step=10200 loss=0.03341 lr=2.00e-03 mode=all-discrete t=2002s
10:38:21 step=10300 loss=0.03560 lr=2.00e-03 mode=all-discrete t=2021s
10:38:41 step=10400 loss=0.03353 lr=2.00e-03 mode=all-discrete t=2041s
10:39:01 step=10500 loss=0.03253 lr=2.00e-03 mode=passthrough t=2061s
10:39:20 step=10600 loss=0.03289 lr=2.00e-03 mode=passthrough t=2080s
10:39:40 step=10700 loss=0.02941 lr=2.00e-03 mode=all-discrete t=2100s
10:39:59 step=10800 loss=0.03217 lr=2.00e-03 mode=passthrough t=2119s
10:40:19 step=10900 loss=0.03633 lr=2.00e-03 mode=all-discrete t=2139s
10:40:38 step=11000 loss=0.03218 lr=2.00e-03 mode=all-discrete t=2159s
10:40:58 step=11100 loss=0.03215 lr=2.00e-03 mode=passthrough t=2178s
10:41:18 step=11200 loss=0.03388 lr=2.00e-03 mode=all-discrete t=2198s
10:41:37 step=11300 loss=0.03280 lr=2.00e-03 mode=passthrough t=2217s
10:41:57 step=11400 loss=0.03332 lr=2.00e-03 mode=all-discrete t=2237s
10:42:16 step=11500 loss=0.03490 lr=2.00e-03 mode=passthrough t=2256s
10:42:36 step=11600 loss=0.03438 lr=2.00e-03 mode=all-discrete t=2276s
10:42:56 step=11700 loss=0.03117 lr=2.00e-03 mode=passthrough t=2296s
10:43:15 step=11800 loss=0.03240 lr=2.00e-03 mode=passthrough t=2315s
10:43:35 step=11900 loss=0.03004 lr=2.00e-03 mode=all-discrete t=2335s
10:43:54 step=12000 loss=0.02840 lr=2.00e-03 mode=passthrough t=2354s
10:44:14 step=12100 loss=0.03436 lr=2.00e-03 mode=passthrough t=2374s
10:44:33 step=12200 loss=0.03075 lr=2.00e-03 mode=all-discrete t=2394s
10:44:41 VAL step=12234 epoch=133 val=0.03724
10:44:41   New best: 0.03724
10:44:54 step=12300 loss=0.03176 lr=2.00e-03 mode=passthrough t=2414s
10:45:13 step=12400 loss=0.03777 lr=2.00e-03 mode=all-discrete t=2434s
10:45:33 step=12500 loss=0.03229 lr=2.00e-03 mode=all-discrete t=2453s
10:45:53 step=12600 loss=0.03124 lr=2.00e-03 mode=passthrough t=2473s
10:46:12 step=12700 loss=0.03086 lr=2.00e-03 mode=all-discrete t=2493s
10:46:32 step=12800 loss=0.02715 lr=2.00e-03 mode=passthrough t=2512s
10:46:52 step=12900 loss=0.03428 lr=2.00e-03 mode=passthrough t=2532s
10:47:11 step=13000 loss=0.02779 lr=2.00e-03 mode=passthrough t=2551s
10:47:31 step=13100 loss=0.03159 lr=2.00e-03 mode=all-discrete t=2571s
10:47:50 step=13200 loss=0.03245 lr=2.00e-03 mode=passthrough t=2591s
10:48:10 step=13300 loss=0.03224 lr=2.00e-03 mode=all-discrete t=2610s
10:48:30 step=13400 loss=0.03208 lr=2.00e-03 mode=passthrough t=2630s
10:48:49 step=13500 loss=0.02874 lr=2.00e-03 mode=passthrough t=2649s
10:49:09 step=13600 loss=0.03278 lr=2.00e-03 mode=all-discrete t=2669s
10:49:28 step=13700 loss=0.02993 lr=2.00e-03 mode=passthrough t=2689s
10:49:48 step=13800 loss=0.02879 lr=2.00e-03 mode=all-discrete t=2708s
10:50:08 step=13900 loss=0.02848 lr=2.00e-03 mode=all-discrete t=2728s
10:50:27 step=14000 loss=0.02990 lr=2.00e-03 mode=passthrough t=2747s
10:50:47 step=14100 loss=0.03457 lr=2.00e-03 mode=passthrough t=2767s
10:51:07 step=14200 loss=0.03176 lr=2.00e-03 mode=all-discrete t=2787s
10:51:26 step=14300 loss=0.02910 lr=2.00e-03 mode=passthrough t=2806s
10:51:46 step=14400 loss=0.03055 lr=2.00e-03 mode=all-discrete t=2826s
10:52:05 step=14500 loss=0.03097 lr=2.00e-03 mode=all-discrete t=2846s
10:52:25 step=14600 loss=0.03165 lr=2.00e-03 mode=passthrough t=2865s
10:52:45 step=14700 loss=0.02828 lr=2.00e-03 mode=passthrough t=2885s
10:53:04 step=14800 loss=0.03034 lr=2.00e-03 mode=all-discrete t=2904s
